Problem,run,Algo,Optimal
dantzig42,10,QLSA softmax,738.0
kroA100,4,SA,22155.0
kroA100,5,SA,24170.0
kroA100,1,SA,23999.0
kroB100,1,QLSA epsilon_greedy,23101.0
kroA100,8,SA,22671.0
kroA100,2,SA,23240.0
kroA100,7,SA,23529.0
kroB100,6,QLSA epsilon_greedy,24526.0
kroA100,6,SA,21823.0
kroB100,2,QLSA epsilon_greedy,24433.0
kroA100,3,SA,22711.0
kroB100,8,QLSA epsilon_greedy,24041.0
kroB100,3,QLSA epsilon_greedy,24216.0
kroB100,4,QLSA epsilon_greedy,23718.0
kroB100,5,QLSA epsilon_greedy,23872.0
kroB100,7,QLSA epsilon_greedy,23111.0
eil51,9,QLSA softmax,478.0
eil51,10,QLSA softmax,455.0
eil76,9,SA,569.0
eil76,10,SA,698.0
fri26,9,SA,1055.0
gr17,9,SA,2153.0
fri26,10,SA,999.0
eil76,2,QLSA epsilon_greedy,616.0
gr21,9,SA,3090.0
gr17,10,SA,2307.0
eil76,8,QLSA epsilon_greedy,738.0
eil76,5,QLSA epsilon_greedy,653.0
eil76,3,QLSA epsilon_greedy,604.0
eil76,7,QLSA epsilon_greedy,624.0
eil76,1,QLSA epsilon_greedy,611.0
eil76,6,QLSA epsilon_greedy,700.0
gr21,10,SA,3103.0
gr24,9,SA,1272.0
fri26,2,QLSA epsilon_greedy,973.0
fri26,8,QLSA epsilon_greedy,955.0
fri26,5,QLSA epsilon_greedy,1096.0
gr24,10,SA,1318.0
fri26,3,QLSA epsilon_greedy,1015.0
gr17,10,QLSA epsilon_greedy,2193.0
fri26,7,QLSA epsilon_greedy,1032.0
fri26,1,QLSA epsilon_greedy,1030.0
fri26,6,QLSA epsilon_greedy,1039.0
gr17,11,QLSA epsilon_greedy,2090.0
gr21,10,QLSA epsilon_greedy,2707.0
bayg29,11,QLSA softmax,1762.0
eil76,4,QLSA epsilon_greedy,579.0
gr21,11,QLSA epsilon_greedy,2930.0
gr24,10,QLSA epsilon_greedy,1318.0
kroA100,9,QLSA softmax,24443.0
bays29,11,QLSA softmax,2140.0
pr107,9,SA,45074.0
gr24,11,QLSA epsilon_greedy,1358.0
dantzig42,11,SA,718.0
gr48,9,SA,5453.0
kroA100,10,QLSA softmax,21688.0
fri26,4,QLSA epsilon_greedy,978.0
gr48,10,SA,5380.0
hk48,11,QLSA softmax,12512.0
bayg29,12,QLSA softmax,1644.0
swiss42,9,SA,1431.0
kroC100,1,QLSA softmax,22822.0
eil76,9,QLSA softmax,607.0
kroC100,2,QLSA softmax,22692.0
gr48,10,QLSA epsilon_greedy,5336.0
ulysses16,9,SA,6859.0
eil76,10,QLSA softmax,586.0
bays29,12,QLSA softmax,2090.0
kroC100,4,QLSA softmax,22463.0
gr48,11,QLSA epsilon_greedy,5432.0
kroC100,6,QLSA softmax,21849.0
fri26,9,QLSA softmax,979.0
hk48,9,SA,12659.0
kroC100,8,QLSA softmax,22974.0
fri26,10,QLSA softmax,1002.0
ulysses22,9,SA,7198.0
kroC100,5,QLSA softmax,24276.0
gr17,9,QLSA softmax,2275.0
hk48,10,SA,11623.0
gr17,10,QLSA softmax,2085.0
eil51,11,SA,463.0
kroA100,9,QLSA epsilon_greedy,23225.0
gr21,9,QLSA softmax,3298.0
berlin52,11,QLSA softmax,8271.0
gr21,10,QLSA softmax,2707.0
bayg29,9,QLSA epsilon_greedy,1744.0
kroC100,3,QLSA softmax,23012.0
burma14,11,QLSA softmax,3479.0
gr24,9,QLSA softmax,1375.0
gr24,10,QLSA softmax,1352.0
hk48,10,QLSA epsilon_greedy,11906.0
kroC100,7,QLSA softmax,24000.0
bays29,9,QLSA epsilon_greedy,2269.0
kroB100,1,SA,22504.0
kroB100,2,SA,24834.0
kroB100,5,SA,25626.0
kroB100,8,SA,24073.0
hk48,11,QLSA epsilon_greedy,12157.0
kroB100,4,SA,22534.0
kroC100,1,QLSA epsilon_greedy,22495.0
kroC100,6,QLSA epsilon_greedy,22383.0
kroC100,2,QLSA epsilon_greedy,23212.0
kroB100,7,SA,24463.0
kroB100,3,SA,23895.0
kroC100,8,QLSA epsilon_greedy,22821.0
kroB100,6,SA,23369.0
kroC100,5,QLSA epsilon_greedy,24589.0
dantzig42,11,QLSA softmax,833.0
kroC100,3,QLSA epsilon_greedy,22489.0
kroC100,4,QLSA epsilon_greedy,23265.0
kroC100,7,QLSA epsilon_greedy,22234.0
berlin52,12,QLSA softmax,7542.0
gr48,9,QLSA softmax,5310.0
burma14,12,QLSA softmax,3579.0
gr48,10,QLSA softmax,5411.0
berlin52,9,QLSA epsilon_greedy,7803.0
dantzig42,12,QLSA softmax,715.0
burma14,9,QLSA epsilon_greedy,3323.0
dantzig42,12,SA,855.0
hk48,12,QLSA softmax,11709.0
eil51,11,QLSA softmax,440.0
dantzig42,9,QLSA epsilon_greedy,772.0
eil76,11,SA,637.0
fri26,11,SA,1076.0
gr17,11,SA,2131.0
gr21,11,SA,3015.0
eil51,12,QLSA softmax,512.0
eil51,12,SA,466.0
gr24,11,SA,1464.0
kroB100,9,QLSA softmax,23541.0
kroB100,10,QLSA softmax,25464.0
eil51,9,QLSA epsilon_greedy,481.0
pr107,10,SA,47653.0
pr107,11,SA,48958.0
kroA100,11,QLSA softmax,23941.0
gr48,11,SA,5194.0
swiss42,10,SA,1404.0
kroA100,9,SA,21876.0
ulysses16,10,SA,6998.0
swiss42,11,SA,1443.0
ulysses16,11,SA,7076.0
kroB100,9,QLSA epsilon_greedy,23453.0
ulysses22,10,SA,7085.0
eil76,11,QLSA softmax,631.0
kroA100,10,SA,23877.0
ulysses22,11,SA,7188.0
hk48,11,SA,12587.0
kroC100,1,SA,21448.0
fri26,11,QLSA softmax,985.0
bayg29,10,QLSA epsilon_greedy,1658.0
kroC100,5,SA,24780.0
kroC100,4,SA,22748.0
kroC100,8,SA,21617.0
gr17,11,QLSA softmax,2198.0
kroC100,2,SA,23074.0
kroA100,11,QLSA epsilon_greedy,22948.0
gr17,12,QLSA epsilon_greedy,2178.0
kroA100,10,QLSA epsilon_greedy,22159.0
pr107,2,QLSA softmax,50166.0
bayg29,11,QLSA epsilon_greedy,1726.0
pr107,1,QLSA softmax,46597.0
bays29,10,QLSA epsilon_greedy,2200.0
gr21,11,QLSA softmax,3003.0
pr107,4,QLSA softmax,45078.0
kroC100,7,SA,21013.0
kroC100,3,SA,22846.0
kroC100,6,SA,24395.0
gr21,12,QLSA epsilon_greedy,3182.0
bayg29,13,QLSA softmax,1665.0
pr107,6,QLSA softmax,46262.0
bays29,11,QLSA epsilon_greedy,2206.0
gr17,13,QLSA epsilon_greedy,2085.0
pr107,5,QLSA softmax,47354.0
gr24,11,QLSA softmax,1290.0
pr107,8,QLSA softmax,50075.0
gr24,12,QLSA epsilon_greedy,1309.0
eil76,12,QLSA softmax,637.0
bays29,13,QLSA softmax,2152.0
gr21,13,QLSA epsilon_greedy,2707.0
bayg29,14,QLSA softmax,1703.0
swiss42,2,QLSA softmax,1325.0
dantzig42,13,SA,814.0
swiss42,1,QLSA softmax,1426.0
swiss42,4,QLSA softmax,1335.0
fri26,12,QLSA softmax,1039.0
gr24,13,QLSA epsilon_greedy,1316.0
hk48,13,QLSA softmax,12661.0
ulysses16,2,QLSA softmax,6972.0
swiss42,6,QLSA softmax,1433.0
bays29,14,QLSA softmax,2273.0
gr17,12,QLSA softmax,2090.0
ulysses16,1,QLSA softmax,6941.0
pr107,1,QLSA epsilon_greedy,44438.0
swiss42,5,QLSA softmax,1338.0
ulysses16,4,QLSA softmax,6870.0
pr107,3,QLSA softmax,45592.0
swiss42,8,QLSA softmax,1462.0
eil76,12,SA,586.0
ulysses16,6,QLSA softmax,6909.0
gr21,12,QLSA softmax,2968.0
eil76,9,QLSA epsilon_greedy,702.0
pr107,7,QLSA softmax,48098.0
pr107,2,QLSA epsilon_greedy,49923.0
ulysses22,2,QLSA softmax,7047.0
ulysses16,5,QLSA softmax,6889.0
pr107,6,QLSA epsilon_greedy,49792.0
ulysses16,8,QLSA softmax,6859.0
fri26,12,SA,1029.0
ulysses22,1,QLSA softmax,7176.0
gr48,12,QLSA epsilon_greedy,5412.0
gr48,11,QLSA softmax,5548.0
gr24,12,QLSA softmax,1485.0
ulysses22,4,QLSA softmax,7092.0
gr17,12,SA,2085.0
fri26,9,QLSA epsilon_greedy,955.0
ulysses22,6,QLSA softmax,7089.0
pr107,5,QLSA epsilon_greedy,44702.0
berlin52,10,QLSA epsilon_greedy,8583.0
swiss42,1,QLSA epsilon_greedy,1359.0
pr107,8,QLSA epsilon_greedy,48103.0
bayg29,2,SA,1790.0
pr107,3,QLSA epsilon_greedy,50205.0
swiss42,3,QLSA softmax,1315.0
pr107,7,QLSA epsilon_greedy,48765.0
gr21,12,SA,3182.0
ulysses22,5,QLSA softmax,7315.0
pr107,4,QLSA epsilon_greedy,45422.0
ulysses22,8,QLSA softmax,7271.0
burma14,10,QLSA epsilon_greedy,3446.0
bayg29,1,SA,1610.0
berlin52,11,QLSA epsilon_greedy,7865.0
gr48,13,QLSA epsilon_greedy,5540.0
ulysses16,1,QLSA epsilon_greedy,6912.0
bayg29,4,SA,1788.0
swiss42,7,QLSA softmax,1361.0
kroA100,12,QLSA softmax,21913.0
bayg29,6,SA,1647.0
swiss42,2,QLSA epsilon_greedy,1407.0
swiss42,6,QLSA epsilon_greedy,1395.0
gr24,12,SA,1484.0
bays29,2,SA,2197.0
ulysses16,3,QLSA softmax,6859.0
eil51,13,SA,518.0
burma14,11,QLSA epsilon_greedy,3323.0
berlin52,13,QLSA softmax,7870.0
bays29,1,SA,2131.0
bayg29,5,SA,1633.0
bayg29,8,SA,1700.0
ulysses16,7,QLSA softmax,6930.0
ulysses16,2,QLSA epsilon_greedy,6870.0
bays29,4,SA,2080.0
dantzig42,14,SA,728.0
swiss42,5,QLSA epsilon_greedy,1330.0
ulysses16,6,QLSA epsilon_greedy,6870.0
bays29,6,SA,2026.0
ulysses22,1,QLSA epsilon_greedy,7188.0
burma14,13,QLSA softmax,3371.0
swiss42,8,QLSA epsilon_greedy,1440.0
swiss42,3,QLSA epsilon_greedy,1423.0
swiss42,7,QLSA epsilon_greedy,1273.0
swiss42,4,QLSA epsilon_greedy,1316.0
ulysses22,3,QLSA softmax,7013.0
bays29,5,SA,2108.0
ulysses16,5,QLSA epsilon_greedy,6930.0
berlin52,14,QLSA softmax,7856.0
bays29,8,SA,2095.0
hk48,12,QLSA epsilon_greedy,11802.0
gr48,12,QLSA softmax,5377.0
dantzig42,10,QLSA epsilon_greedy,764.0
ulysses16,3,QLSA epsilon_greedy,6859.0
ulysses22,2,QLSA epsilon_greedy,7013.0
ulysses16,8,QLSA epsilon_greedy,6912.0
ulysses16,7,QLSA epsilon_greedy,6900.0
ulysses22,7,QLSA softmax,7195.0
ulysses22,6,QLSA epsilon_greedy,7089.0
ulysses16,4,QLSA epsilon_greedy,6976.0
gr17,14,QLSA epsilon_greedy,2123.0
burma14,14,QLSA softmax,3669.0
dantzig42,11,QLSA epsilon_greedy,732.0
bayg29,3,SA,1725.0
hk48,14,QLSA softmax,12145.0
ulysses22,5,QLSA epsilon_greedy,7157.0
gr21,14,QLSA epsilon_greedy,3033.0
gr48,12,SA,5152.0
hk48,13,QLSA epsilon_greedy,11919.0
bayg29,7,SA,1871.0
ulysses22,7,QLSA epsilon_greedy,7733.0
ulysses22,8,QLSA epsilon_greedy,7189.0
ulysses22,3,QLSA epsilon_greedy,7114.0
bayg29,15,QLSA softmax,1705.0
dantzig42,13,QLSA softmax,755.0
ulysses22,4,QLSA epsilon_greedy,7013.0
bays29,3,SA,2139.0
gr24,14,QLSA epsilon_greedy,1362.0
gr17,15,QLSA epsilon_greedy,2090.0
kroC100,9,QLSA softmax,24965.0
bays29,7,SA,2224.0
bays29,15,QLSA softmax,2133.0
gr21,15,QLSA epsilon_greedy,2907.0
dantzig42,14,QLSA softmax,740.0
berlin52,2,SA,8444.0
bayg29,16,QLSA softmax,1739.0
kroC100,10,QLSA softmax,23776.0
berlin52,1,SA,7900.0
dantzig42,15,SA,749.0
eil51,14,SA,474.0
burma14,2,SA,3346.0
berlin52,4,SA,7786.0
gr24,15,QLSA epsilon_greedy,1272.0
berlin52,6,SA,8267.0
hk48,15,QLSA softmax,12222.0
burma14,1,SA,3690.0
bays29,16,QLSA softmax,2190.0
burma14,4,SA,3770.0
berlin52,5,SA,7831.0
burma14,6,SA,3607.0
eil51,10,QLSA epsilon_greedy,470.0
berlin52,8,SA,8333.0
hk48,12,SA,12088.0
kroB100,11,QLSA softmax,23403.0
gr17,16,QLSA epsilon_greedy,2103.0
burma14,5,SA,3585.0
burma14,8,SA,3323.0
gr48,14,QLSA epsilon_greedy,5120.0
eil51,11,QLSA epsilon_greedy,462.0
gr21,16,QLSA epsilon_greedy,2933.0
hk48,16,QLSA softmax,13164.0
bayg29,17,QLSA softmax,1714.0
dantzig42,16,SA,740.0
kroB100,9,SA,24382.0
eil51,13,QLSA softmax,552.0
gr24,16,QLSA epsilon_greedy,1391.0
berlin52,3,SA,7998.0
bays29,17,QLSA softmax,2145.0
gr48,15,QLSA epsilon_greedy,5121.0
berlin52,7,SA,7849.0
kroC100,9,QLSA epsilon_greedy,22756.0
burma14,3,SA,3545.0
kroB100,10,SA,24671.0
dantzig42,17,SA,770.0
eil51,14,QLSA softmax,487.0
berlin52,15,QLSA softmax,7869.0
burma14,7,SA,3607.0
eil51,15,SA,472.0
eil76,13,SA,680.0
burma14,15,QLSA softmax,3403.0
gr17,17,QLSA epsilon_greedy,2090.0
hk48,17,QLSA softmax,11914.0
fri26,13,SA,1087.0
hk48,14,QLSA epsilon_greedy,11690.0
kroA100,11,SA,24101.0
berlin52,16,QLSA softmax,7648.0
gr21,17,QLSA epsilon_greedy,2803.0
kroB100,11,QLSA epsilon_greedy,23325.0
gr17,13,SA,2281.0
gr48,16,QLSA epsilon_greedy,5419.0
burma14,16,QLSA softmax,3336.0
kroB100,10,QLSA epsilon_greedy,22816.0
gr24,17,QLSA epsilon_greedy,1272.0
gr21,13,SA,2968.0
eil51,16,SA,453.0
hk48,15,QLSA epsilon_greedy,13262.0
dantzig42,15,QLSA softmax,781.0
gr24,13,SA,1343.0
berlin52,17,QLSA softmax,7565.0
eil51,17,SA,496.0
dantzig42,16,QLSA softmax,864.0
burma14,17,QLSA softmax,3531.0
kroA100,13,QLSA softmax,23496.0
eil76,14,SA,606.0
pr107,12,SA,44684.0
hk48,16,QLSA epsilon_greedy,11939.0
gr48,17,QLSA epsilon_greedy,5399.0
pr107,13,SA,52628.0
fri26,14,SA,987.0
gr48,13,SA,5643.0
gr17,14,SA,2216.0
eil76,10,QLSA epsilon_greedy,608.0
dantzig42,17,QLSA softmax,780.0
swiss42,12,SA,1493.0
gr21,14,SA,2998.0
